"Amaurochaetaceae RoSTAFINsKI, 1873, "	p. 8)]  Sporangia combined to form aethalium.  Rec.  
"Pseudoendothyra 	MtKHAYLOV, 1939, "	"12 60, p . 54,60 [F11mlinella struvii \""O'C MiiLLER, 1879, *1296,  p. 22; OD] [ =Parastaffella RA t.: ZER-CHER 'Cot.:so1?A, 1948, 0 1505, p. 14 (obj.) ]. It is found that in the original pu blication on F11s11li11ella stru1?ii illustrations were given of external Yiews and drawings of thin sections. The wall structures are shown in part to be identical to those in Mil/ere/la THO~IPSON, 19-12, a nd Paramillerella THOMPSON, 1951. Ho wner, no chomata are seen in the figures of F. strzwii and, indeed, no sec. ondary deposits of any kind. Furthermore, some of the illustrations gil'en by MtKHAYLOV (1939) are copies of those published by vo:-i MOLLER. One thin section figured by MtKHAYLOV (*1260, pl. 4, fig. -l) shows a foraminifer resembling an ozawainellid, but the section is not well ce ntered. The other illustrations do not seem to be of fu sulinaceans. Carb. -L.Perm ., USSR-W.Eu .-Asia.  N.A m .   ? 14 93 , p. 98; OD]. P11trella was proposed to in.clude specimens that RAUZER-CHER:-;01..:sov.\ de.scribed from the upper part of the Moscol'ian stage, base of Podolsk Horizon, and uppermost part of the Kashir Horizon. The type -species is reported to ha1?e features like those of some nria nts of highll' ad1?anced F11m li11a FISCHER DE \VALDHEI~I, 1829, and the ge nu, was classed in the Fusu\ininae. It is my judgment that the type- Presumotrino  2  Schwogerino  Schwagerinc    C436 	Protista-Sarcodina  species of P11trella may properly be included in a broad understanding of Fusttlina. However, it may possibly be somewhat like some of the forms that have been referred to Q11asiftts11lina CHEN, 1934.  Quasifusulinoides RAUZER-CHERNOUSOVA & Rozov.SKAYA in RAuzER-CHERNousovA & FL'RSENKO, 19S9, *I S09, p. 210 [ ? Psettdotriticites fusiformis Rozov.SKAYA, 19S2, *IS92A, p. 29; OD] [=Q11asi.f11sulinoides RAUZER-CHERNOUSOVA & RozovsKAYA in A. D. MIKLUKHO-MAKLAY, RAUZER-CHERNou.sovA & RozovsKAYA, 19S8, *127S, p. 17 (nom. n11d.)]. An enlargement of the wall structure illustrated by RAUZER-CHERNOUSOVA & FuRSENKO (19S9, *IS09, pl. 7, fig !SB), shows it to be rather typical of the Fusulininae group of forms that occur from the upper part of the Myachkovo Horizon to the bottom of the Upper Carboniferous, southern Urals, Russian Platform. No axial fill.ings are visible in the axial section (/oc. cit., pl. 7, fig. ISA) and the septa are intensely fluted. The details by which this genus differs from Quasi.fttsttlina CHEN, 1934, are not understood by me. Russiella A. D. M1KLUKH0-MAKLAY, 19S7, *1267,  p. 98 [*R. p11lchra; OD]. The illustrations of R. p11lcl1ra show a highly elongate shell with intense.ly fluted septa and rather massive axial fillings. The holotype has about S volutions. The minute size of the shell and rather indistinct details of its internal structure suggest that it may be re.lated to Minojapanella FuJnWTO & KA>:UMA, 19S3. Russie/la originally was placed in the ""Boul.toniinae."" U.Perm., USSR(Crimea).   (Yuzhno-Ussuriy region).   "
"Sphaeroschwagerina 	A. D. MIKLUKHO-MAKLAY, 19S9, "	"*l2il, p. IS7 [""*Schwagerina princeps (EHRE>:BERc)"" ScHELLWIEN, 1898, ""1644, p. 2S8 (non Bore/is princeps EHRENBERG, 1842, *669A,  p. 274) ( =Scl1 wageri11a sphaerica SHCHERBOVICH \?ar. Zamica SHcHERBO\'ICH in RAUZER-CHERNOU.sovA & SHCHERBOVICH, 1949, * l S09B, p. I 02); OD] [=Sphaerosclttl'agerina A. D. MIKLUKHO.M.\KLAY, l 9S6, *126S, p. l 1S4 (nom. nttd., type designated but no generic description) (obj.)]. An outline sketch of a typical specimen of Sphaerosclttl'agerina 19S9, *1271, p. IS9, suggests relationship to Rob11stosclrn?ageri11a tmnida (L1K.HAREV), 1939. Originally placed in the Schwager.inidae. L.Perm.( U.Karac!iatyr Horizon p,? ).  NOMINA NUDA (FUSULINACEANS)  "
"Armeniella A. D. M1KLUKHO-MAKLAY, 19S3 "	"(*1263, p. 20).   "
"Carina A. D. MIKLUKHO-MAKLAY, 19S3 "	"(*1263,  p. 18). Eozawainella A. D. M1KLUKH0-MAKLAY, 19S3  (*1263, p. 18). Orientella A. D. M1KLUKH0-MAKLAY, 19S3 (*1263,  p. 21).   "
"Pseudoyabeina 	TUMANSKAYA, 19SS "	"(cited in A. D. M!KLUKHO-MAKLAY, 19S8, *1268, p. 6,10).  NOMEN INQUIRENDUM  (FUSULINACEANS)  "
"CHERNousovA & FuRSENKo, 19S9, "	"*IS09, p. 207,  a synonym of Pseudoendothyra MIKHAYLov, 1939].   "
"Agathammina NEUMAYR, 1887, "	"*1354, p. 171 [""Serpula pusilla GEINITZ in GEINITZ & GUTBIER, 1848, 0 776, p. 6; SD CUSHMAN, 1927, 0 433, p. 188]. Test ovate; globular proloculus followed by enrolled, nonseptate tubular second chamber, which coils in quinqueloculine manner; wall cal.careous, imperforate with growth lines on sur.face but no internal subdivisions; aperture sim.ple, terminal, may have thickened rim. [Com.monly placed in the Miliolidae because of its quinqueloculine appearance, Agatlzammina has been shown to be nonseptate and is here trans.ferred to the Cyclogyrinae. Agglutinated species placed herein by various authors should be re.allocated, in the Ammodiscidae.] Carb.-Perm., ?Trias., ?fur., C.Eu.--FIG. 330,1-5. ?A. pusilla (GEINITz), U.Carb.(Namur.), Czech.; Ja,b, op.posite sides, X 11 7 ("" 1985); 2a-c, opposite sides and edge view showing nonseptate character, X25; 3, long. sec. of megalospheric form, X55 ; 4,5, transv. secs. of microspheric and megalo.spheric forms, X25 ( 0 2070) .  "
"CornuspireUa 	CusHMAN, 1928, "	"436, p. 4 [*Cornu.spira diffusa H ERON-ALLEN & EARLAND, 1913,  ?908, p. 272; OD]. Early portion as in Cyclogyra, planispiral and evolute, later rectilinear, spread.ing and branching in various directions but in plane of original coiling; aperture elongate, nar.row, at ends of flattened branches. Rec., N.Atl. --Fie. 329,3. *C. diffwa (HERON-ALLEN & EARLAND) ; lectotype (BMNH-ZF3578) from Gold.seeker Station 4 IA, Haul 8265 at lat. 56?48'N., long. I 0 l 9'E., at 94 m., showing branches in 2 directions and broken areas where other branches had formerly occurred, X48 ( 0 2117) .   "
"Cornuspiroides 	CusHMAN, 1928, "	"0 436, p. 3 [""Cornuspira striolata BRADY in T1zARD & MuRRAY, 1882, ""1936, p. 713; OD]. Test free, large, flabel.liform, early portion planispiral with coils in.creasing very graduallv in diameter, later portion   of coil increasing very rapidly in height and spreading out into an uncoiled, flattened and flabelliform portion, nonseptate but with distinct transverse growth lines and in tl'pe-species with fine vertical striae on surface; wall calcareous, milky white, imperforate; aperture narrow elon.gate slit at open end of expanded, flattened test. [Cornuspiroides differs from Cyclogyra in its later uncoiled, flabelliform development and from Cornuspirel/a CuSHMAN in being unbranched in the later portion.] Rec., Atl.--F1c. 329,7,8. ?c. striolata (BRADY); 7, side view of hypotype, X 5; 8, a pert. view of hypotype, X 5 .5 (02117).   "
"Flectospira CRESPIN & BELFORD, 1957, "	"0 395, p. 76 [ ? F. prima; OD] . Test discoidal, similar to Meandrospira in development but evolutely coiled, so that earlier whorls of zigzagging tubular sec.ond chamber are visible; aperture large, rounded, at open end of tube. L.Perm.( Artinsk.) , W. Australia.--F1c. 331 ,1-3. ?F. p,.ima; la,b, side, edge views of holotype; 2, equat. sec.; 3, axial sec.; all X77 ( 0 395) .  "
"Gordiospira H ERON-ALLEN & EARLAND, 1932, "	"0 914d, p. 254 [ ?c. fragilis; OD (M)]. Test free , consisting of proloculus and long undivided sec.ond chamber, early portion coiling about pro.loculus in varying planes, becoming planispiral and partially involute in later portion; wall cal.careous, imperforate, with numerous transverse wrinkles; aperture comprising broad arch at open end of tube. Rec., Antarctic-Arctic.--F1c. 329, 4-6. ?c. fragilis, S. Georgia Is.; 4, large micro.spheric paratype, X64; 5, edge view ( 0 914d, pl. 6, fig. 13), redrawn, showing crushing of test in the apertural region simulating a triangular aper.ture, X 64; 6, small megalospheric para type show.ing early irregular coiling and arched aperture, Xl46 ( 0 2117). [Gordiospira differs from Hem igordius SC H UBERT in pos. sessing a thin, delicate test wall and in bcking lateral secondary thickening. It differs from Cyclogyrci in the glomospiroid early coil ing. Ct.:sH:-.L\:-; (1948, *486, p. 193) sta ted that the aperture is ""somewhat triangubr."" This was shown by the original figures and also by the edge ,?iew of the figure herein gi\'en of the same ~recimen. but it is due to the broken, sli:..:htly collapsed wall. which gi\'eS a pseudotriangular appearance. On uncrushed speci.mens the aperture is merely a broadly arched opening. The original specimens figured in side \'iew are broken in the British .\{useum slides. Those here illustr:tted are from the same slid e, howt\'tr (B.\l.""H-ZF3284) .]   "
"Hemigordiopsis REICHEL, 1945, "	"*1516, p. 528 [?H. renzi: OD]. Test globular, consisting of globular proloculus followed by nonseptate second cham.ber, coiling streptospiral in earh? portion and later planispiral, involute, so that only final whorl is   C440 Protista-Sarcodina  visible externally; wall calcareous, porcelaneous, thick, chamber cavity much reduced. [Hemigordi.opsis is similar to Vidalina and Hemigordius in its involute, later planispiral development, but differs from Vidalina in early streptospiral coiling, and differs from Vidalina and H emigordiw in its globular test resulting from very broad and low chambers.] Perm., E.Medit.(Cyprus).--F1G. 332,1,2. ?H. renzi; la, axial sec. of holotype (wall appears dark and chamber cavity light); 1 b, holotype, diagrammatic to show early strepto.spiral development and later planispiral coiling, X20; 2, equat. sec. of paratype showing non.septate tube, X20 (""1516).   "
"Hemigordius SCHUBERT, 1908, "	"0 1686, p. 381 [*Cornttspira sclzlumbergeri HowcHIN, 1895, 0 967, p. 195] [=Hemigordie/la MAR IE in DELEAU & MARIE, 1961, 0 580A, p. 75 (type, Hemigordiw calcarea CUSHMAN & WATERS, 1928, *535, p. 44); Ondogordius MARIE in DELEAU & MARIE, 1961, 0 580A, p. 78 (type, 0. campa1211la MARIE, 1961); Neoangttlodisc11s KRISTAN -ToLLMANN, 1962, ""1059A, p. 230 (type, N. leisclzneri)] . Test simi.lar to Gordiospira, with early whorls glomospiroid, later planispiral, but whorls involute, resulting in umbonal thickening. Carb.-L./11r.( Lias.), Australia.N.Am.-Eu.-USSR.--FIG. 333,J. ""H. sclilttm.bergeri (HowcHIN), Carb., Australia; la-c, op.posite sides and edge of to po type, X 62 (0 2117).  "
"Meandrospira LoEBLI CH & TAPPAN, 1946, "	"0 1154,  p. 248 [""M. washitensis; OD] [ =Streblospira CRESPIN & BELFORD, 1957, 0 395, p. 74 (type, S. meandrina)] . Test free, small, composed of pro.loculus followed by tubular second chamber, which spirals streptospirally and involutely about proloculus in short zigzag bends, so that side view shows numerous loops reaching toward um.bilicus, loops being formed by tubular chamber swinging back upon itself and only those of fin al whorl visible externally; wall calcareous, imperforate; aperture simple, terminal. L.Pern1.  ( Artinsk.)-Rec., N.Am.-Eu.-N.Afr.-Australia.-. (Tex.); Ja-c, holotype, opposite sides and edge  views, X211 (""2117).--FIG. 333,4-6. M.  meandrina (CRESPIN & BELFORD) . U.Perm.,  Australia; 4a-c, opposite sides and edge views of  holotype (in glycerine), X53; 5, equat. sec.,  [Meandrospira differs from Calcitornella and Calcivertella,   both of which have a zigzag tubular second chamber, in being free living and enrolled, rather than attached to a fl.at substratum. Streblospira (L.Perm.) is a synonym and Glomospira g/omerata H OGLUND (Rec., Sweden) also be? longs to Meandrospira.]   "
"Orthovertella CUSHMAN & wATERS, 1928, "	"0 535, p. 45 (0 0. protea; OD] . Proloculus followed by undivided tubular second chamber, streptospirally coiled in early portion, later becoming uncoiled; aperture at open end of tube. [REYTLINGER (1950, *1560, p. 22) regarded Ort!1overtella as a synonym of Lit110111ba, but Orthovertella has a porcelaneous rather th an agglutinated wall.] Penn.-Perm., N. Am.--FIG. 333,2. ?o. protea, Penn., USA (Tex.); 2a,b, side, edge views of holotype, X 122 ( 0 2117).  "
"Rectocornuspira WARTHIN, 1930, "	"0 2040, p. 15 [?R. li111iformis; OD] . Test differing from Ortho.vertella in being completely planispiral, rather than streptospiral in early stage, later portion un.coiled ; wall porcelaneous; aperture rounded at open end of tube. Penn., N.Am.--FIG. 333,7. ""R. lituiformis, USA(Okla.); 7a,b, side, edge views, X63 (*2117).  "
"Vidalina SCHLUMBERGER, 1900, "	"0 1660, p. 459, 460 [*V . hispanica; OD (M)] (=Arvidaloum RHUMBLER, 1913, ""1572b, p. 388 (obj.) (nom. van.)]. Test large, to 1.5 mm. in diam., with proloculus followed by planispirally enrolled, in.volute, nonseptate, tubular second chamber, in.volute whorls resulting in umbonal thickening ; wall calcareous, imperforate; aperture at open end of tube. U.Cret., Eu.--F1c. 331 ,4,5 ; 333, 8,9. ?v. lzispanica, Santon., Spain; 331,4, equat.   sec., X45; 331,5, axial sec., X85 (*1660); 333, Ba,b, side, edge views of large paratype, X23 (?2117); 333,9a,b, side, edge views of small h ypo.type, X 55 (*2117).  "
"Fischerina TERQUE~? , 1878, "	"? 1889, p. 80 (non STUCKENBERG, 1904) [?F. diodiensis; OD (M)) [=Planispirina SEGUENZA, 1880, ?!713, p. 310 (type, P. communis); Trisegmentina WIESNER, 1920, ?2061, p. 18 (type, T. compressa WIESNER, 1931 , *2063, p. 70, =Ha11erina compressa SIDE.BOTTOM, 1904, non H. compressa o 'ORB IGNY, 1846, =T. sidebottomi CUSHMAN, 1933)). T est free, globular proloculus followed by enrolled nonseptate tubular chamber of nearly fuJ[ coil in    C442 Protista-Sarcodina  (p. C.J.J l-C.J43) .  leng th, later chambers continuing about proloculus of microspheric topotype; ../, side view of megalo. in planispiral coil; wall calcareous, thin, imperfor.spheric topotype; all Xlll (02117).  ate; aperture at open end of tube. ?Paleoc., Oligo..[.\ lth o ui.:h Fischaina is commonly described :is trocho?   spiral. with involute urnhilkal side, the holotypc of the rype?spel.""ics, preserved in the Museum N:ttion:d d'Hiscoire Med it. ; 1 a,b, opposite sides of holotype, X 79 ~awrdlc. P:iris, is complc:telr pbnispiral. Fi_;chaina is therdorc:: similar to Cyc/ugyra, hut septate. T ri.<c'gmentina  (0 211 7); Jc, edge view, X79 ( 1889) .--Frc.   \\""1ES:\'ER w:ts prniously shown to be ;1 iunior synonym of  33.J ,2 . F. co111n11111is (SEGUENZA), Pleist., USA P/,mi_(pirina hy LOEBLICH & TAPPAN (1955, .. 1166, p. 15), but with the redefinition of Fischerina Tl::RQUEJ\?I to conform (Cali f.); 7. a-c, opposite sid es and edge views, to tht? type-species, both Tri~?c>gmeruinu and P/a 11i ... ('irin11 \1el0mi: syno1wms of Fische'ri11a. The origin:li type of   Fi.?d1ai11.1. \\':1s. from the Pl ioane . Isle of Rhodes. th:lt (?f (WIH'1ER), Rec, Mcdit.; 3a,b, side, edge views l'/!lni ..:ririn11 comnwni.? frorn the: Pli ocene (Asti:in) of Sid.  h?, and ch:n of Trisegmen tina comrre.~_.?.; \\""1Es;.o;1::R from  J{eccnt of the Mediterrane~tn. The nomenclature of this  bst species is discussed hy L0t-.BL1t.H &. TAPl'AN (1955,  ? 11 66, p. 16). P. commnnis diffc:rs only in having some. wh;u mo re rapidly enbr,:.;ing ch::J.mhc:rs .1n<l thus a highn  .:irched opening, but the rdati\'e proportions are n:;;:irdc:d  as of specific importance only . )    "
"Nautiloculina MOHLER, 1938, "	" 1297, p. 18 [ ?N. oolitlzica; OD] . Test free, planispirally enrolled, with numerous chambers in each whorl, com .pletely involute and bilaterally symmetrical; wall calcareous, imperforate; aperture crescentic equa.torial interiomarginal slit. [ll'autiloc11lina differs from Planispirinella in its robust rather than flat.tened form and basal slitlike aperture, instead of a high vertical slit in the apertural face.] fu r., Eu.(Switz .).--FIG. 335,1-3. *N. oolitlzica, Raurac. (1,2 ), Sequan. (3); 1, equat. sec., X 75; 2, equat. sec., central portion enlarged to show planispiral development, X230; 3, axial secs., Xi5 (? !297).  "
"Planispirinella WIESNER, 193 "	"1, *2063, p. 69 [?Ha11eri11a exigua BRADY, 1879, ? 196b, p. 267 ; OD]. Test free, discoidal, planispiral and imolute; proloculus followed by low, broad spiraling cham.bers, about 3 to whorl; sutures obscure, internal septa very thin and oblique; wall calcareous, im.perforate, porcelaneous, composed of successive laminae de,?eloped with addition of each chamber, laminae each covering entire test, obscuring early chamber divisions externally; aperture high, elon.gate. subtriangular or slitlike opening extending up face of final chamber. Tert.-Rec., Pac.0.-.FIG. 33-1,7-9. *P. e.rigua (BRADY), Rec. , Clzal.len ger Station 187-A, off Booby Island at 8 fathoms; 7a,b, side, apert. Yiews of lectotype, here designated and redrawn (BMNH-ZF36 16 ex  3   sec. (BMNH-ZF2108), Xi9 (*2 11 7).  lornli11a ) (p. C4-l3) .   "
"Carixia MACFADYEN, 1941, "	"?1200, p. 27 [*C. langi; OD] . Test attached, consisting of unseg.mente<l tubes radiating from central point and anastomosing over surface of substratum; wall calcareous, imperforate, with attachment of cal.careous cement; apertures formed by simple open ends of tubes. fur., G.Brit.(Eng.).--F1c. 337,1.  ?c. langi, Lias., hypotype, X80 (?2117).  "
"Planiinvoluta 	LEISCHNER, 1961, "	"*1128, p. II [*P. carinata; OD]. Test fbttened, discoidal, probably originally attached; with globular proloculus and  nonseptate planispirally enrolled second chamber, evolute on one side, involute on opposite side, which as a result is centrally inflated. [Described from thin sections, the genus is not completely known. As the flattened side suggests an attached condition, the genus is here placed in the Calci.vertellinae.] U.Trias.( Rhaet.), Eu.(Aus.) .--Fie. 337,3-5. *P. carinata; 3, axial sec. of holotype; 4,5, equat. secs ., X 100 (*1128).  "
"Plummerinella CUSHMAN & wATERS, 1928, "	"*535, p. 49 [*P. complexa; OD]. Test attached, develop.ment otherwise similar to Meandrospira in early stage, with tubular nonseptate second chamber en.rolled about proloculus in zigzag pattern, later spreading and tending to uncoil; wall calcareous, porcelaneous; aperture at open end of tube. Penn., N.Am.--F1c. 336,2. *P. complexa, USA(Tex.); 2a,b, opposite si<les of holotype, X73 (*2117).  "
"Cornuspiramia CUSHMAN, 1928, "	"*436, p. 4 [*Nube.cularia antillarum CusHMAN, 1922, *416, p. 58; OD) [=Rhizonubecula J. LE CALVEZ, 1935, 01102, p. 96 (type, R. adherens) ]. Test attached, proloculus followed by enrolled tubular second chamber of nearly I complete volution in length, and later subpyriform chambers in irregularly rectilinear series, later dichotomously branching over substrate. [ Cornwpiramia was originally de.scribed as a nonchambered, tubular, attached form, as the chambers are difficult to distinguish externally on attached specimens. On specimens which have broken free of attachment the cham.ber development can be seen.) Rec., Gulf Mex..Carib.-Medit.--F1c. 338,7,8. ?c. antillarum (CusHMAN), Gulf Mex. (7), Carib. (8); 7a,b, ext. and attached side, enlarged ( 0 436); 8a,b, dorsal and attached surfaces showing chamber development, X 73 ( 0 2117) .--Fie. 338,9. C. adherens (J. LE CALVEZ), Medit.; 9a, entire speci.men, X7; 9b, early portion enlarged to show chamber development, XSO ( 0 1102).  "
"Nubeculinella CusHMAN, 1930, "	"0 446, p. 133 [*N. bigoti; OD] . Test attached, consisting of proloculus followed by second chamber coiling around first, varying from half coil to one and one-half coils in length, forms with smaller proloculus followed by longer and more enrolled second chamber, later chambers elongate-ovate to irregular in out.line, uniserially arranged but winding somewhat upon shell fragments to which they attach; wall calcareous, imperforate, milky white; aperture semi-circular opening against substratum. [Dif.fers from Nubecularia in its more regular cham.ber development, with early coil followed by un.  C448 Protista-Sarcodina  coiled portion.] U.Jur., Eu.--FIG. 339,1,2. *N. bigoti, Oxford., Fr.; 1, holotype ( 0 446); 2, para.type, X65 ( 0 2117).   "
"Nubeculopsis CoLLINs, 1958, "	"*375, p. 375 [*N. queenslandica; OD]. Test attached, similar to Nu.beculinella but early portion with arcuate chambers forming early coil, instead of nonseptate tube coiling around proloculus, later chambers tending to uncoil; aperture terminal arch against attach.ment, with infolded teeth, similar to those in Nubeculina. Rec., Australia.--F1c. 339,3. *N. queenslandica; Ja, upper surface of holotype; 3b, surface of attachment; Jc, top view showing aper!. teeth; all X66 (*375).  "
"Sinzowella CusHMAN, 1933, "	"*458, p. 33 [*Nubecu.laria novorossica var. deformis KARRER & SINzow, 1877, *1024, p. 283; OD]. Test to 10 mm. in length, attached, early stage planispiral as in Cyclogyra, later with globular chambers forming irregular mass; wall calcareous, porcelaneous, thick; elongate reniform aperture with bordering lip on each of globular chambers. Mio., Eu.-.Fic. 339,4,5. *S. deformis (KARRER & SINzow), Sarmat., Rumania; 4, ext. showing globular cham.bers and apertures; 5, long. sec. showing thick walls, enlarged (*1024).  Webbina D'ORBIGNY in DE LA SACRA, 1839, *1611,  p. 26 [*W. rugosa D'ORBIGNY in BARKER-WEBB & BERTHELOT, 1839, *86, p. 126; SD (SM) l [=Webbum RHUMBLER, 1913, *1572b, p. 444 (type, Webbina rugosa D'ORBIGNY, SD LoEBLICH & TAPPAN, herein); Arwebbum RHUMBLER, 1913, *1572b, p. 445 (nom. van.)]. Test attached by entire lower surface, chambers few in number, inflated, surface marked by faint transverse ""growth lines,"" margins of chambers bordered by fimbriate ""keel""; wall thin, calcareous, ap.pearing milky white and imperforate, surface smooth except for transverse wrinkles; aperture terminal, with bordering lip. Rec., Atl.-Timor Sea. --Fie. 338,10. *W. rugosa, At!.; JOa,b, holo.type, showing convex chambers on free side and opposite side flattened against attachment, X 58  (*2117). [Although commonly placed with the perforate calcareous genera, in the Cibicidinae (*762, p. 296; '*486, p. 339; """"1509, p. 287), the holotype, in the Museum National d'Histoire Naturelle, Paris, has a porcelaneous and im.perforate wall, the ""rugose"" appearance being due merely to surface wrinkles. The genus was redefined by LoEBLICH & TAPPAN (*'1166, p. 23) and is here transferred to the Nubeculariinae. Specimens of Webbina recently have been obtained from the Sahu} Shelf, northern Australia, at a depth of 72 fathoms.I  "
"Cornuloculina BuRBACH, 1886, "	"*253b, p. 497 [*Hauerina inconstans BRADY, 1879, *196b, p. 268; SD LoEBLICH & TAPPAN, herein] [=Haueri.nella SCHUBERT, 1921, *1694, p. 162 (obj.)]. Test free, planispirally coiled and evolute, globu.lar proloculus followed by planispirally wound tubular second chamber of up to 3 whorls, fol.lowed by chambers of approximately one-half coil in length, or slightly less, resulting in 2.5 to 3 chambers to whorl in later stages, chambers some.what loosely coiled, those of adjacent whorls be.ing separated by thin plate; wall calcareous, im.perforate; aperture at open end of final chamber. [Cornulocttlina is separated from Ophthalmidium in the less regular coiling with more than 2 chambers in each whorl.] /llr.-Rec., S.Atl.0.-S. Pac.0.-Eu.--Fic. 340,3-7. ?c. inconstans (BRADY), off Brazil (3-6), S.Pac. (7); 3-5, topo.types, showing various stages of development from early planispiral tubular chamber to 2 or more chambers to whorl, X31 (*2117); 6, micro.spheric topotype in transmitted light, X30; 7, megalospheric hypotype in transmitted light, X 50 (*2074 ).  "
"Edentostomina COLLINS, 1958, "	"*375, p. 370 [*Mili.olina rnltrata BRADY, 1879, *196c, p. 45; OD]. Test compressed, ovate, apparently planispiral, with chambers one-half coil in length; wall por.celaneous, surface smooth, longitudinally striate or pitted; aperture terminal, commonly somewhat produced, with thickened rim, without apertural teeth, but may be ovate, slitlike, or cruciform. Rec., Indo-Pac.0.--Fic. 341,J. *E. cultrata (BRADY), Malay Arch.; la-c, opposite sides and apert. view showing planispiral development, X40 ('1284a).--F1c. 341,.?. E. milletti (CusH.~rAN); specimen mounted in balsam and viewed in transmitted light to show chamber arrange.ment, exterior suture lines omitted, X40  (* 1284a).    [The original description st:ned in pan, ""Test triloculine and no tooth."" In addition to the type-species, Miliolina or hiloculine . . . b st two chambers added ;l[ app rox i-durrandii MIL l.ETT, Alilioli11a ruperti1111a BR ADY, and Bilo.mately 180?, .. . aperture oval with a thickened rim cnlina mil/c'lli CusHMAN were transferred to. Edentostomi11 a.   C450 Protista-Sarcodina  la   None of these species shows a typical triloc uline develop.ment or is t)'pically miliolid, since in most species the same number of chambers is visible on both sides (4 on each side in E. durrandii, ;ind in ~llLLETT?s spec imens of  E. culrrata whereas BRAD\' figured one side only of 2 differ.ent spec im ens, and 2 on each side in E. mil/e11i) . Only in Milio/ina ru{lerti111111 does a suggestion of asymmetry ap.pear, although no figures han; hcen published showing both sides of a single specimen. The '?iews of œ. m il/e1ti in tr:rnsmiucd light g iven by ~llLLETT (Fig. 341 ,2) also ;l.f)pt:ar to show a planispir:ll ck vdopment. For this rea.son, and because of the absence of an apertur::il tooth, J::d~ntostomina is here tr::insferre<l to the Ophthalmidiin:i.e.]  Eosigmoilina GA""ELI '1A in K1PARJSO\'A, et al., 1956, ""1040, p. 17 [' E. explicata; OD]. T est com.pressed-ovate, globular proloculus followed by nonseptate tubular second chamber in glomo.spirine coil. later portion with 2 chambers to whorl and development as in Sigmoili11a, with plane of coiling gradually changing to form sig.moid curve as seen in transverse section; septa very thin; wall calcareous, imperforate, thin, aperture simple rounded opening at end of final chamber. [Originally pLiced in the Miliolidae, this genus is here transferred to the Ophthalmi.diinae, family Nubeculariidae, because of its non.septate enrolled second chamber and later milio.line deYelopment, and the simple apertural open.ing. ) 1'1.Carh., USSR(Dnieper-Donets Bastn)-Eu. (Czech.).--F1c. 342,1,]. ?œ. e.rplicata, USSR; 1a-c, opposite sides and edge views of para type, X 100; 2, long. sec. showing change in axis of coiling. X 150 (*1040). Galeanella KRISTAN, 1958, *1058. p. IH [pro Galea KRISTAN, 1957, ""1057, p. 291 (11011 M EUSCHEN, 1787; 11ec MEYE N, 1833 ; 11ec MoERCH, 1852)) [?Galea tollmanni KRJSB'1, 1957, ""1057, p. 291;  OD). Test consisting of globular proloculus and enrolled close-coiled later chambers, which taper di, tally as in Oplztlzalmidium , whorls or chambers 'carcely perceptible from exterior; wall calcareous, porcelaneous and thick, leaving only small cham.ber ca,?ities, may form thickened rim or keel of te,t; in thin section few large pore canals seen to pierce thickened wall; aperture rounded open.ing with radial grooves radiating from it across deprc"" cd apertural face. U.Trias.( Rliaet.), Eu. (.'I. us.) .--FIG. 342,6-8. ~G. tol/111 a11ni (KRIS.TAN); Ga-d, opposite sid es and opposite edge views of holutype; 7a, tang. sec. showing pore canals leading from proloculus; 7b , parallel but deeper section, showing numerous tapering cham.bers, thick walls and pore canals; 8, vert. long. sec.; all X35 (""1057).  "
"Glomulina RHu~JBLER, 1936, "	"*1575, p. 198 [""G. fistulesce ns; OD]. Test free, globular, proloculus followed by cyclogyrine tubular second chamber, later streptospirall y coiled with chambers half coil in leng th ; wall calcareous, imperforate ; aper.ture rounded, terminal. Rec., Baltic Sea.--F1c. 342,3. *G. fistulescens; Ja,h, opposite sides; 3c, specimen viewed as in Ja but in transmitted light to show chamber arrangement, X45 ('1575). [T he genus w:i.s described as having second:i.ry apertures on fistulose projections along the final chamber, as can be seen in the figure. It is uncertain, however, whether chis is a ch;tracccristic of the for:i.minifc:r, or due to a parasite or other abnorm:tl growth.]  "
